kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
floorNav,检验科|||S6|||fromElevator,2楼,G0125,19,15,4,1,1,0,71.008198,71.008198,20.375,20.375
floorNav,检验科|||S6|||toElevator,2楼,G0125,19,15,4,1,1,0,71.008198,71.008198,20.375,20.375
floorNav,计算机机房|||S4|||fromElevator,2楼,G0129,31,10,21,2,2,0,31.986968,31.986968,20.375,20.375
floorNav,计算机机房|||S4|||toElevator,2楼,G0129,31,10,21,2,2,0,31.986968,31.986968,20.375,20.375
floorNav,计算机机房|||S5|||fromElevator,2楼,G0130,28,8,20,2,2,0,33.440453,33.440453,20.772,20.772
floorNav,计算机机房|||S5|||toElevator,2楼,G0130,28,8,20,2,2,0,33.440453,33.440453,20.772,20.772
floorNav,计算机机房|||S6|||fromElevator,2楼,G0131,19,15,4,1,1,0,71.988269,71.988269,20.375,20.375
floorNav,计算机机房|||S6|||toElevator,2楼,G0131,19,15,4,1,1,0,71.988269,71.988269,20.375,20.375
floorNav,超声医学科|||S4|||fromElevator,2楼,G0135,38,11,27,2,2,0,32.180664,32.180664,20.375,20.375
floorNav,超声医学科|||S4|||toElevator,2楼,G0135,38,11,27,2,2,0,32.180664,32.180664,20.375,20.375
floorNav,超声医学科|||S5|||fromElevator,2楼,G0136,38,9,29,2,2,0,33.633893,33.633893,20.375,20.375
floorNav,超声医学科|||S5|||toElevator,2楼,G0136,38,9,29,2,2,0,33.633893,33.633893,20.375,20.375
floorNav,超声医学科|||S6|||fromElevator,2楼,G0137,28,16,12,1,1,0,72.158064,72.158064,20.375,20.375
floorNav,超声医学科|||S6|||toElevator,2楼,G0137,28,16,12,1,1,0,72.158064,72.158064,20.375,20.375
sameFloor,中医馆|||多功能科,2楼,G0141,24,13,11,2,2,0,84.765272,84.765272,20.575,20.575
sameFloor,中医馆|||超声医学科,2楼,G0146,23,12,11,3,3,0,64.785258,64.785258,20.575,20.575
sameFloor,伤口门诊|||多功能科,2楼,G0149,19,12,7,2,2,0,74.288457,74.288457,20.197,20.197
sameFloor,伤口门诊|||超声医学科,2楼,G0154,18,11,7,2,2,0,54.847877,54.847877,20.375,20.375
